x,sin(x),Taylor_1,Error_1,Taylor_3,Error_3,Taylor_5,Error_5,Taylor_7,Error_7,Taylor_9,Error_9
-10.0,0.5440211108893698,-10.0,10.54402111088937,156.66666666666666,156.1226455557773,-676.6666666666667,677.2106877775561,1307.4603174603174,1306.916296349428,-1448.2716049382718,1448.8156260491612
-9.98999499749875,0.5355991101468779,-9.98999499749875,10.525594107645627,156.17692187756373,155.64132276741685,-672.9959937448311,673.531592854978,1297.276792460291,1296.7411933501442,-1433.7402097880897,1434.2758088982366
-9.9799899949975,0.5271234963404884,-9.9799899949975,10.507113491337988,155.6881770877098,155.1610535913693,-669.3409541529381,669.8680776492786,1287.1606345401556,1286.6335110438151,-1419.3386727041475,1419.865796200488
-9.969984992496249,0.5185951178727023,-9.969984992496249,10.488580110368952,155.20043129560338,154.68183617773067,-665.7014989675897,666.2200940854624,1277.111477829765,1276.5928827118921,-1405.0659810552268,1405.5845761730995
-9.959979989994997,0.5100148284277216,-9.959979989994997,10.469994818422718,154.71368349974284,154.2036686713151,-662.0775793653856,662.5875941938134,1267.128958018972,1266.6189431905443,-1390.9211289169423,1391.43114374537
-9.949974987493746,0.5013834868860022,-9.949974987493746,10.451358474379749,154.2279326986269,153.7265492117409,-658.4691466228287,658.9705301097147,1257.2127123527512,1256.7113288658652,-1376.9031170352941,1377.4045005221801
-9.939969984992496,0.49270195723827154,-9.939969984992496,10.432671942230767,153.7431778907539,153.25047593351565,-654.8761521162178,655.3688540734561,1247.3623796263055,1246.8696776690672,-1363.0109527903287,1363.503654747567
-9.929964982491246,0.48397110849904984,-9.929964982491246,10.413936090990296,153.2594180746225,152.77544696612344,-651.2985473215522,651.7825184300513,1237.577600180212,1237.093629071713,-1349.2436501600027,1349.7276212685017
-9.919959979989995,0.47519181461966087,-9.919959979989995,10.395151794609657,152.77665224873104,152.3014604341114,-647.7362838144296,648.2114756290492,1227.858015895557,1227.3828240809373,-1335.6002296841712,1336.0754214987908
-9.909954977488745,0.46636495440075015,-9.909954977488745,10.376319931889496,152.29487941157802,151.82851445717728,-644.1893132699461,644.6556782243468,1218.2032701890923,1217.7369052346917,-1322.0797184287424,1322.546083383143
-9.899949974987495,0.45749141140431765,-9.899949974987495,10.357441386391812,151.81409856166206,151.35660715025776,-640.6575874625963,641.1150788740007,1208.6130080084004,1208.155516596996,-1308.6811499499863,1309.1386413613907
-9.889944972486242,0.4485720738652722,-9.889944972486242,10.338517046351514,151.33430869748145,150.88573662361617,-637.1410582661719,637.5896303400372,1199.0868758270572,1198.6383037531918,-1295.403564258986,1295.8521363328514
-9.879939969984992,0.43960783460252645,-9.879939969984992,10.319547804587518,150.85550881753494,150.4159009829324,-633.6396776536646,634.0792854882671,1189.6245216398304,1189.1849138052278,-1282.246007786265,1282.6856156208676
-9.869934967483742,0.4305995909296167,-9.869934967483742,10.300534558413359,150.3776979203209,149.9470983293913,-630.1533976971613,630.5839972880909,1180.2255949578562,1179.7949953669265,-1269.2075333465314,1269.638132937461
-9.859929964982491,0.42154824456488865,-9.859929964982491,10.28147820954738,149.90087500433788,149.479326759773,-626.6821705677472,627.1037188123121,1170.8897468038508,1170.4681985592858,-1256.2872001036103,1256.7087483481753
-9.849924962481241,0.412454701541235,-9.849924962481241,10.262379664022475,149.4250390680843,149.01258436654305,-623.2259485354042,623.6384032369455,1161.6166297073182,1161.204175005777,-1243.4840735355006,1243.8965282370418
-9.83991995997999,0.4033198721154017,-9.83991995997999,10.243239832095393,148.95018911005872,148.54686923794333,-619.7846839689107,620.1880038410261,1152.4058976997776,1152.0025778276622,-1230.7972253995981,1231.2005452717135
-9.829914957478739,0.3941446706768707,-9.829914957478739,10.22405962815561,148.47632412875953,148.08217945808266,-616.3583293357419,616.7524740064188,1143.2572063099897,1142.8630616393127,-1218.2257336980642,1218.6198783687412
-9.819909954977488,0.3849300156563365,-9.819909954977488,10.204839970633826,148.00344312268544,147.61851310702912,-612.9468372019701,613.3317672176264,1134.1702125592055,1133.785282543549,-1205.7686826433464,1206.1536126590029
-9.809904952476238,0.37567682943376235,-9.809904952476238,10.18558178191,147.5315450903348,147.15586826090103,-609.5501602321622,609.925837061596,1125.1445749564105,1124.7688981269766,-1193.4251626238374,1193.8008394532712
-9.799899949974987,0.36638603824605726,-9.799899949974987,10.166285988221045,147.06062903020612,146.69424299196007,-606.1682511892814,606.5346372275275,1116.1799534935903,1115.8135674553444,-1181.1942701697003,1181.5606562079463
-9.789894947473737,0.35705857209435854,-9.789894947473737,10.146953519568095,146.59069394079793,146.23363536870357,-602.8010629345862,603.1581215066806,1107.276009641003,1106.9189510689087,-1169.0751079188285,1169.4321664909228
-9.779889944972487,0.34769536465093953,-9.779889944972487,10.127585309623427,146.1217388206087,145.77404345595775,-599.4485484275308,599.7962437921817,1098.4324063424592,1098.0847109778083,-1157.0667845829644,1157.4144799476153
